,Date,Open,High,Low,Close,Volume,VP,TotalVP,TotalVolume,VWAP,EMA,EMA>VWAP
1404,2017.02.01 21:20,250.8,251.01,250.62,250.7,67,16802.0366667,736448.796667,2944,250.15244452,250.465640021,1
1405,2017.02.01 21:25,250.64,250.76,250.32,250.41,115,28807.1166667,765255.913333,3059,250.165385202,250.454512017,1
1406,2017.02.01 21:30,250.42,250.5,249.88,249.88,74,18506.4133333,783762.326667,3133,250.163525907,250.339609614,1
1407,2017.02.01 21:35,249.89,250.44,249.76,249.98,114,28506.84,812269.166667,3247,250.159891182,250.267687691,1
1408,2017.02.01 21:40,249.9,250.27,249.75,249.92,89,22248.22,834517.386667,3336,250.155091926,250.198150153,1
1409,2017.02.01 21:45,249.92,250.24,249.92,250.02,75,18754.5,853271.886667,3411,250.153001075,250.162520122,1
1410,2017.02.01 21:50,249.97,249.97,249.75,249.88,111,27735.2,881007.086667,3522,250.143976907,250.106016098,-1
1411,2017.02.01 21:55,249.9,249.91,249.68,249.8,73,18235.1566667,899242.243333,3595,250.136924432,250.044812878,-1
1412,2017.02.01 22:00,249.75,249.77,249.36,249.68,94,23462.7133333,922704.956667,3689,250.123327912,249.971850303,-1
1413,2017.02.01 22:05,249.69,249.78,249.26,249.31,77,19207.65,941912.606667,3766,250.109560984,249.839480242,-1
1414,2017.02.01 22:10,249.29,249.6,249.29,249.43,87,21701.28,963613.886667,3853,250.094442426,249.757584194,-1
1415,2017.02.01 22:15,249.44,249.71,249.42,249.58,61,15223.77,978837.656667,3914,250.086268949,249.722067355,-1
1416,2017.02.01 22:20,249.59,249.71,249.28,249.33,81,20204.64,999042.296667,3995,250.073165624,249.643653884,-1
1417,2017.02.01 22:25,249.3,249.55,249.29,249.32,100,24938.6666667,1023980.96333,4095,250.056401302,249.578923107,-1
1418,2017.02.01 22:30,249.3,249.6,249.2,249.6,97,24198.2666667,1048179.23,4192,250.042755248,249.583138486,-1
1419,2017.02.01 22:35,249.61,249.77,249.25,249.4,121,30186.2733333,1078365.50333,4313,250.026780277,249.546510789,-1
1420,2017.02.01 22:40,249.41,249.7,249.28,249.7,91,22709.96,1101075.46333,4404,250.01713518,249.577208631,-1
1421,2017.02.01 22:45,249.72,249.88,249.31,249.44,100,24954.3333333,1126029.79667,4504,250.006615601,249.549766905,-1
1422,2017.02.01 22:50,249.52,249.52,248.89,249.12,161,40117.4433333,1166147.24,4665,249.977972133,249.463813524,-1
1423,2017.02.01 22:55,249.2,249.39,248.88,249.01,182,45334.9866667,1211482.22667,4847,249.944754831,249.373050819,-1
1424,2017.02.02 16:30,247.98,248.38,247.63,247.88,149,36946.5366667,1248428.76333,4996,249.885661196,249.074440655,-1
1425,2017.02.02 16:35,247.88,248.63,247.78,248.61,238,59104.92,1307533.68333,5234,249.815377022,248.981552524,-1
1426,2017.02.02 16:40,248.62,249.33,248.52,249.0,204,50785.8,1358319.48333,5438,249.782913449,248.985242019,-1
1427,2017.02.02 16:45,249.01,249.28,248.22,248.7,176,43777.0666667,1402096.55,5614,249.750008906,248.928193615,-1
1428,2017.02.02 16:50,248.71,248.72,248.13,248.23,174,43214.64,1445311.19,5788,249.708222184,248.788554892,-1
1429,2017.02.02 16:55,248.23,249.1,248.23,248.91,143,35570.7733333,1480881.96333,5931,249.685038498,248.812843914,-1
1430,2017.02.02 17:00,248.91,249.15,248.64,248.9,135,33601.05,1514483.01333,6066,249.667493131,248.830275131,-1
1431,2017.02.02 17:05,248.98,250.48,248.98,250.47,159,39746.29,1554229.30333,6225,249.675390094,249.158220105,-1
1432,2017.02.02 17:10,250.47,250.57,249.82,250.49,176,44051.6266667,1598280.93,6401,249.692380878,249.424576084,-1
1433,2017.02.02 17:15,250.49,250.52,249.78,249.79,109,27253.27,1625534.2,6510,249.698033794,249.497660867,-1
1434,2017.02.02 17:20,249.79,249.79,248.97,249.56,115,28685.6,1654219.8,6625,249.693554717,249.510128694,-1
1435,2017.02.02 17:25,249.56,249.78,249.34,249.66,85,21215.4333333,1675435.23333,6710,249.692285147,249.540102955,-1
1436,2017.02.02 17:30,249.65,250.17,249.54,250.17,145,36244.2,1711679.43333,6855,249.69794797,249.666082364,-1
1437,2017.02.02 17:35,250.17,250.34,250.01,250.12,92,23014.4133333,1734693.84667,6947,249.70402284,249.756865891,1
1438,2017.02.02 17:40,250.12,250.32,249.89,250.31,87,21765.08,1756458.92667,7034,249.709827505,249.867492713,1
1439,2017.02.02 17:45,250.32,250.33,249.98,250.13,86,21512.6133333,1777971.54,7120,249.715103933,249.91999417,1
1440,2017.02.02 17:50,250.14,250.3,249.99,250.03,63,15756.72,1793728.26,7183,249.718538215,249.941995336,1
1441,2017.02.02 17:55,250.03,251.46,250.03,251.34,112,28105.6533333,1821833.91333,7295,249.737342472,250.221596269,1
