Date,Open,High,Low,Close,Volume,TotalVolume
2017-03-07 14:05:00,249.68,249.8783,249.55,249.76,28531.0,2518601.0
2017-03-07 14:10:00,249.75,249.87,249.55,249.72,28810.0,2552953.0
2017-03-07 14:15:00,249.64,250.11,249.61,249.89,29081.0,2587199.0
2017-03-07 14:20:00,249.98,250.04,249.81,249.88,26378.0,2617078.0
2017-03-07 14:25:00,249.82,249.94,249.71,249.74,19357.0,2639556.0
2017-03-07 14:30:00,249.76,249.77,249.41,249.68,29099.0,2672342.0
2017-03-07 14:35:00,249.66,250.1388,249.61,250.03,14630.0,2690107.0
2017-03-07 14:40:00,249.9883,250.05,249.78,249.8,14767.0,2707858.0
2017-03-07 14:45:00,249.8,249.8599,249.56,249.625,18094.0,2738372.0
2017-03-07 14:50:00,249.62,249.71,249.5292,249.5972,17669.0,2757869.0
2017-03-07 14:55:00,249.64,249.68,249.42,249.67,18696.0,2781170.0
2017-03-07 15:00:00,249.641,249.68,249.305,249.3585,17402.0,2804072.0
2017-03-07 15:05:00,249.425,249.62,249.41,249.52,21504.0,2830490.0
2017-03-07 15:10:00,249.5119,249.68,249.44,249.46,20987.0,2854725.0
2017-03-07 15:15:00,249.43,249.68,249.41,249.65,18986.0,2877347.0
2017-03-07 15:20:00,249.58,249.72,249.44,249.62,15649.0,2897538.0
2017-03-07 15:25:00,249.63,249.68,249.42,249.54,20742.0,2935742.0
2017-03-07 15:30:00,249.55,249.58,249.15,249.23,21531.0,2966710.0
2017-03-07 15:35:00,249.24,249.2959,248.8012,248.81,55885.0,3031474.0
2017-03-07 15:40:00,248.825,249.05,248.6,248.61,33165.0,3076294.0
2017-03-07 15:45:00,248.66,248.73,248.32,248.66,59390.0,3145536.0
2017-03-07 15:50:00,248.7,249.0,248.59,248.995,47117.0,3201250.0
2017-03-07 15:55:00,248.99,249.0,248.5601,248.7,39243.0,3251752.0
2017-03-07 16:00:00,248.69,248.75,248.43,248.64,96377.0,3372133.0
2017-03-07 16:05:00,248.59,248.59,248.57,248.57,69097.0,3441249.0
2017-03-07 16:25:00,248.53,248.53,248.53,248.53,100.0,3446049.0
2017-03-07 16:30:00,248.03,248.3,248.0,248.0,2449.0,3449191.0
2017-03-07 16:40:00,248.0,248.0,248.0,248.0,100.0,3449736.0
2017-03-07 16:45:00,247.75,247.75,247.66,247.66,339.0,3450268.0
2017-03-07 16:50:00,248.59,248.59,248.59,248.59,449.0,3450952.0
2017-03-07 16:55:00,248.0,248.0,248.0,248.0,221.0,3451305.0
2017-03-07 17:00:00,247.7,247.7,247.7,247.7,185.0,3451496.0
2017-03-07 17:10:00,247.65,247.65,247.65,247.65,300.0,3451989.0
2017-03-07 17:30:00,248.0,248.0,248.0,248.0,100.0,3452522.0
2017-03-07 17:45:00,247.99,248.0,247.94,248.0,719.0,3453377.0
2017-03-07 18:55:00,247.61,247.62,247.61,247.62,300.0,3454193.0
2017-03-07 19:00:00,247.6,247.6,247.55,247.55,409.0,3455040.0
2017-03-07 19:10:00,247.5,247.5,247.5,247.5,100.0,3455612.0
2017-03-07 19:15:00,247.5,247.5,247.4,247.4,200.0,3455872.0
2017-03-07 19:20:00,247.4,247.4,247.21,247.21,717.0,3456907.0
2017-03-07 19:25:00,247.21,247.21,247.21,247.21,1010.0,3457998.0
2017-03-07 19:30:00,247.21,247.21,247.21,247.21,712.0,3458710.0
2017-03-07 19:55:00,248.0,248.0,248.0,248.0,100.0,3459256.0
2017-03-07 20:00:00,248.0,248.0,248.0,248.0,100.0,3459455.0
2017-03-08 05:10:00,248.69,248.69,248.69,248.69,400.0,573.0
2017-03-08 07:10:00,248.4,248.4,248.37,248.37,200.0,1092.0
2017-03-08 07:35:00,248.01,248.01,247.93,247.93,200.0,1483.0
2017-03-08 08:05:00,248.0,248.0,247.0,247.16,12064.0,15232.0
2017-03-08 08:10:00,247.16,247.16,247.16,247.16,1700.0,17007.0
2017-03-08 08:15:00,247.18,247.39,246.92,246.92,1100.0,18664.0
2017-03-08 08:20:00,247.0,247.0,247.0,247.0,1075.0,19992.0
2017-03-08 08:25:00,247.29,247.55,246.95,246.95,3468.0,24098.0
2017-03-08 08:30:00,246.92,246.92,246.92,246.92,200.0,24403.0
