,Close,High,Low,Open,Volume
2017-01-10 14:20:00,804.84,805.11,804.47,805.11,2560.0
2017-01-10 14:25:00,805.22,805.6956,804.99,805.42,5648.0
2017-01-10 14:30:00,804.62,805.42,804.62,805.13,7326.0
2017-01-10 14:35:00,805.24,805.575,804.5,804.7,5970.0
2017-01-10 14:40:00,805.1601,805.51,805.0,805.2,14510.0
2017-01-10 14:45:00,805.25,805.39,804.68,804.9301,7289.0
2017-01-10 14:50:00,804.9,805.405,804.9,805.405,2554.0
2017-01-10 14:55:00,805.09,805.16,804.42,804.8801,7853.0
2017-01-10 15:00:00,805.49,805.49,804.98,805.1,5541.0
2017-01-10 15:05:00,805.275,805.65,805.14,805.56,4071.0
2017-01-10 15:10:00,805.33,805.69,805.12,805.45,6366.0
2017-01-10 15:15:00,805.41,805.6546,805.19,805.32,3925.0
2017-01-10 15:20:00,805.1,805.46,804.71,805.2101,9589.0
2017-01-10 15:25:00,805.12,805.47,805.04,805.1884,2789.0
2017-01-10 15:30:00,805.05,805.37,804.97,805.22,3194.0
2017-01-10 15:35:00,805.89,805.98,805.17,805.17,9765.0
2017-01-10 15:40:00,805.3782,806.2,805.3782,805.9,17716.0
2017-01-10 15:45:00,805.41,805.9,805.4063,805.68,8035.0
2017-01-10 15:50:00,805.31,805.5008,805.065,805.38,7020.0
2017-01-10 15:55:00,804.5,805.39,804.5,805.31,13147.0
2017-01-10 16:00:00,804.8,805.27,804.5,804.5,28659.0
2017-01-10 16:05:00,804.79,804.79,804.79,804.79,155267.0
2017-01-10 16:10:00,805.05,805.05,805.05,805.05,100.0
2017-01-10 16:50:00,804.79,804.79,804.79,804.79,1800.0
2017-01-10 18:15:00,805.05,805.05,805.05,805.05,100.0
2017-01-11 08:45:00,806.06,806.06,806.06,806.06,200.0
2017-01-11 09:30:00,805.81,805.81,805.81,805.81,200.0
2017-01-11 09:35:00,803.2,805.75,803.0,805.0,31649.0
2017-01-11 09:40:00,803.36,804.14,802.62,803.2437,12537.0
2017-01-11 09:45:00,803.95,804.19,802.86,803.72,20852.0
2017-01-11 09:50:00,802.45,803.26,802.32,803.26,12672.0
2017-01-11 09:55:00,802.3401,802.78,801.37,802.23,20124.0
2017-01-11 10:00:00,803.03,803.03,801.99,802.3862,12852.0
2017-01-11 10:05:00,803.06,803.55,802.62,802.9,14301.0
2017-01-11 10:10:00,802.8,803.284,802.33,802.86,4871.0
2017-01-11 10:15:00,803.42,803.8,802.72,802.72,15900.0
2017-01-11 10:20:00,803.98,803.98,803.33,803.41,3048.0
2017-01-11 10:25:00,804.24,804.29,803.6055,804.19,1920.0
2017-01-11 10:30:00,804.43,804.91,803.77,803.96,8695.0
2017-01-11 10:35:00,804.599,804.95,804.3,804.63,2720.0
2017-01-11 10:40:00,805.11,805.56,804.7,804.95,7334.0
2017-01-11 10:45:00,804.885,805.18,804.36,805.12,4603.0
2017-01-11 10:50:00,804.5,805.01,804.5,804.9,2952.0
2017-01-11 10:55:00,803.945,804.48,803.69,804.48,2456.0
2017-01-11 11:00:00,804.73,804.73,803.45,803.826,4901.0
2017-01-11 11:05:00,804.91,804.92,804.19,804.77,11994.0
2017-01-11 11:10:00,804.7,804.99,804.5,804.72,7979.0
2017-01-11 11:15:00,804.52,805.06,804.52,804.92,16705.0
2017-01-11 11:20:00,805.11,805.13,804.7,804.895,11072.0
2017-01-11 11:25:00,804.36,805.3,804.08,805.13,7392.0
2017-01-11 11:30:00,803.46,804.43,803.085,804.19,2988.0
2017-01-11 11:35:00,802.824,803.33,802.1,803.0,9334.0
2017-01-11 11:40:00,802.48,803.11,801.9,802.89,9066.0
2017-01-11 11:45:00,804.13,804.13,802.48,802.825,3950.0
2017-01-11 11:50:00,804.5464,805.0,804.07,804.41,3321.0
2017-01-11 11:55:00,805.37,805.37,803.89,803.89,5638.0
2017-01-11 12:00:00,805.1401,805.53,804.7,805.47,14542.0
2017-01-11 12:05:00,805.53,805.89,805.17,805.4,7679.0
2017-01-11 12:10:00,805.195,805.6938,805.11,805.6938,4050.0
2017-01-11 12:15:00,805.06,805.71,805.05,805.2986,3856.0
2017-01-11 12:20:00,804.45,805.2,804.145,804.99,6122.0
2017-01-11 12:25:00,804.565,804.64,803.99,804.64,3968.0
2017-01-11 12:30:00,805.5,805.5,804.8,804.85,2533.0
2017-01-11 12:35:00,804.65,805.115,804.22,804.881,10843.0
2017-01-11 12:40:00,804.45,805.04,804.2,804.71,4200.0
2017-01-11 12:45:00,804.1769,804.24,803.175,804.24,5067.0
2017-01-11 12:50:00,803.68,803.74,803.2,803.7,3500.0
2017-01-11 12:55:00,803.7699,804.02,803.47,803.51,805.0
2017-01-11 13:00:00,804.73,804.73,803.93,803.93,1163.0
2017-01-11 13:05:00,804.2001,805.14,804.2001,804.52,7808.0
2017-01-11 13:10:00,804.7,804.77,804.19,804.5,5476.0
2017-01-11 13:15:00,804.21,804.35,803.5,804.35,7944.0
2017-01-11 13:20:00,803.98,803.98,803.03,803.92,4942.0
2017-01-11 13:25:00,804.341,804.62,803.31,803.79,16387.0
2017-01-11 13:30:00,803.82,804.37,803.02,804.02,2788.0
2017-01-11 13:35:00,803.905,804.25,803.3,803.3,1065.0
2017-01-11 13:40:00,804.15,804.15,803.09,803.62,11044.0
2017-01-11 13:45:00,804.05,804.46,803.61,804.2,7240.0
2017-01-11 13:50:00,803.89,804.3,803.71,804.24,4713.0
2017-01-11 13:55:00,803.822,804.25,803.6502,803.7643,3601.0
2017-01-11 14:00:00,804.675,804.88,804.24,804.3481,11475.0
2017-01-11 14:05:00,804.2348,804.96,804.03,804.5,1047.0
2017-01-11 14:10:00,804.36,804.67,804.18,804.33,1200.0
2017-01-11 14:15:00,805.0,805.0,804.01,804.01,2509.0
2017-01-11 14:20:00,804.911,805.5963,804.911,805.25,7153.0
2017-01-11 14:25:00,805.2163,805.26,805.1316,805.2232,1100.0
2017-01-11 14:30:00,805.43,805.99,805.414,805.414,10215.0
2017-01-11 14:35:00,806.75,806.78,805.92,805.92,9251.0
2017-01-11 14:40:00,806.98,807.23,806.59,806.64,3570.0
2017-01-11 14:45:00,807.18,807.29,806.94,807.25,6876.0
2017-01-11 14:50:00,806.8,807.0,806.4,806.9,2900.0
2017-01-11 14:55:00,806.39,806.8235,806.0,806.8,3778.0
2017-01-11 15:00:00,806.75,806.95,806.195,806.4,9800.0
2017-01-11 15:05:00,806.8,806.89,806.59,806.8,11840.0
2017-01-11 15:10:00,806.86,807.17,806.7,806.8,9543.0
2017-01-11 15:15:00,807.19,807.19,806.89,806.955,4000.0
2017-01-11 15:20:00,808.15,808.15,806.99,807.0,7404.0
2017-01-11 15:25:00,807.9,807.97,807.49,807.92,4900.0
2017-01-11 15:30:00,807.35,807.61,806.8,807.61,8575.0
2017-01-11 15:35:00,807.91,807.91,807.2,807.2,4905.0
2017-01-11 15:40:00,807.135,807.92,807.135,807.84,6804.0
2017-01-11 15:45:00,806.77,807.3816,806.77,807.12,5200.0
2017-01-11 15:50:00,807.526,807.69,806.82,806.98,13127.0
2017-01-11 15:55:00,807.475,807.75,807.27,807.49,16708.0
2017-01-11 16:00:00,807.86,807.91,807.18,807.58,34081.0
2017-01-11 16:05:00,807.91,807.91,807.91,807.91,135405.0
2017-01-11 16:20:00,804.9563,807.5,804.9563,807.5,352.0
2017-01-11 16:35:00,807.5,807.5,807.5,807.5,252.0
2017-01-11 16:40:00,807.99,807.99,807.99,807.99,180.0
2017-01-11 17:20:00,807.91,807.91,807.91,807.91,3094.0
2017-01-12 08:05:00,807.3,807.3,807.3,807.3,125.0
2017-01-12 09:30:00,807.25,807.25,806.21,806.21,459.0
