,Open,High,Low,Close,Volume
2017-03-31 16:45:00,20.13,20.13,20.13,20.13,5817.0
2017-04-03 09:35:00,20.16,20.2096,20.09,20.145,8394.0
2017-04-03 09:40:00,20.09,20.21,20.09,20.13,11311.0
2017-04-03 09:45:00,20.1299,20.1299,20.06,20.06,5270.0
2017-04-03 09:50:00,20.05,20.12,20.05,20.06,5968.0
2017-04-03 09:55:00,20.06,20.12,20.06,20.105,4777.0
2017-04-03 10:00:00,20.09,20.1,20.07,20.08,1778.0
2017-04-03 10:05:00,20.075,20.09,20.07,20.07,1400.0
2017-04-03 10:10:00,20.06,20.08,20.03,20.06,3179.0
2017-04-03 10:15:00,20.05,20.06,20.03,20.04,2300.0
2017-04-03 10:20:00,20.05,20.07,20.04,20.07,3650.0
2017-04-03 10:25:00,20.06,20.07,20.05,20.06,2200.0
2017-04-03 10:30:00,20.06,20.07,20.03,20.04,2500.0
2017-04-03 10:35:00,20.03,20.03,19.99,20.0,3770.0
2017-04-03 10:40:00,19.99,19.99,19.97,19.97,2950.0
2017-04-03 10:45:00,19.98,19.98,19.93,19.97,7120.0
2017-04-03 10:50:00,19.96,19.98,19.94,19.95,1600.0
2017-04-03 10:55:00,19.97,20.0,19.92,19.9233,5769.0
2017-04-03 11:00:00,19.91,19.95,19.91,19.93,3790.0
2017-04-03 11:05:00,19.93,19.95,19.9243,19.95,2472.0
2017-04-03 11:10:00,19.95,20.01,19.95,19.99,8718.0
2017-04-03 11:15:00,19.98,19.98,19.95,19.95,4400.0
2017-04-03 11:20:00,19.95,19.95,19.92,19.9398,3819.0
2017-04-03 11:25:00,19.93,19.95,19.9,19.91,8250.0
2017-04-03 11:30:00,19.9,19.91,19.88,19.88,3753.0
2017-04-03 11:35:00,19.89,19.91,19.88,19.88,4200.0
2017-04-03 11:40:00,19.8862,19.905,19.8842,19.895,3400.0
2017-04-03 11:45:00,19.89,19.905,19.89,19.891,3599.0
2017-04-03 11:50:00,19.8924,19.91,19.89,19.9,4630.0
2017-04-03 11:55:00,19.905,19.905,19.87,19.875,3554.0
2017-04-03 12:00:00,19.87,19.8762,19.87,19.8762,1400.0
2017-04-03 12:05:00,19.87,19.88,19.86,19.88,9597.0
2017-04-03 12:10:00,19.88,19.89,19.875,19.88,1747.0
2017-04-03 12:15:00,19.88,19.88,19.86,19.86,4550.0
2017-04-03 12:20:00,19.86,19.86,19.84,19.84,2270.0
2017-04-03 12:25:00,19.8425,19.855,19.8425,19.85,2300.0
2017-04-03 12:30:00,19.85,19.86,19.85,19.85,5134.0
2017-04-03 12:35:00,19.855,19.86,19.85,19.85,600.0
2017-04-03 12:40:00,19.855,19.8567,19.85,19.855,3200.0
2017-04-03 12:45:00,19.85,19.86,19.85,19.85,4901.0
2017-04-03 12:50:00,19.85,19.86,19.85,19.85,1501.0
2017-04-03 12:55:00,19.85,19.855,19.85,19.85,900.0
2017-04-03 13:00:00,19.85,19.85,19.83,19.84,5687.0
2017-04-03 13:05:00,19.84,19.865,19.84,19.865,2605.0
2017-04-03 13:10:00,19.8666,19.87,19.86,19.87,7200.0
2017-04-03 13:15:00,19.875,19.89,19.875,19.88,2000.0
2017-04-03 13:20:00,19.885,19.89,19.885,19.8899,800.0
2017-04-03 13:25:00,19.89,19.89,19.88,19.89,1400.0
2017-04-03 13:30:00,19.89,19.89,19.88,19.88,1200.0
2017-04-03 13:35:00,19.89,19.9,19.88,19.9,1863.0
2017-04-03 13:40:00,19.895,19.9,19.83,19.84,8847.0
2017-04-03 13:45:00,19.84,19.84,19.82,19.82,5315.0
2017-04-03 13:50:00,19.83,19.83,19.815,19.8225,2821.0
2017-04-03 13:55:00,19.8289,19.84,19.825,19.83,2300.0
2017-04-03 14:00:00,19.83,19.84,19.83,19.84,1100.0
2017-04-03 14:05:00,19.838,19.84,19.83,19.83,1430.0
2017-04-03 14:10:00,19.84,19.85,19.83,19.85,2209.0
2017-04-03 14:15:00,19.84,19.845,19.83,19.83,6600.0
2017-04-03 14:20:00,19.84,19.85,19.83,19.84,4692.0
2017-04-03 14:25:00,19.84,19.84,19.82,19.82,4316.0
2017-04-03 14:30:00,19.83,19.85,19.825,19.84,5156.0
2017-04-03 14:35:00,19.845,19.87,19.84,19.87,3100.0
2017-04-03 14:40:00,19.87,19.89,19.87,19.88,5452.0
2017-04-03 14:45:00,19.9,19.94,19.9,19.9297,5499.0
2017-04-03 14:50:00,19.94,19.94,19.9366,19.94,800.0
2017-04-03 14:55:00,19.94,19.94,19.92,19.92,3301.0
2017-04-03 15:00:00,19.92,19.92,19.91,19.91,1730.0
2017-04-03 15:05:00,19.92,19.935,19.92,19.925,6459.0
2017-04-03 15:10:00,19.928,19.94,19.92,19.94,3043.0
2017-04-03 15:15:00,19.9386,19.94,19.91,19.92,9363.0
2017-04-03 15:20:00,19.9298,19.9298,19.91,19.91,1400.0
2017-04-03 15:25:00,19.92,19.93,19.92,19.93,3055.0
2017-04-03 15:30:00,19.93,19.94,19.92,19.9364,3800.0
2017-04-03 15:35:00,19.93,19.935,19.91,19.91,8298.0
2017-04-03 15:40:00,19.92,19.92,19.89,19.89,12955.0
2017-04-03 15:45:00,19.9,19.93,19.89,19.93,6150.0
2017-04-03 15:50:00,19.925,19.94,19.92,19.935,6532.0
2017-04-03 15:55:00,19.94,19.96,19.94,19.96,24618.0
2017-04-03 16:00:00,19.96,19.99,19.955,19.98,69339.0
2017-04-03 16:05:00,19.98,19.99,19.98,19.99,192102.0
2017-04-03 16:10:00,19.9562,19.9562,19.9562,19.9562,1600.0
2017-04-04 09:35:00,19.93,19.94,19.86,19.88,12813.0
2017-04-04 09:40:00,19.9,19.95,19.88,19.9,4000.0
2017-04-04 09:45:00,19.9,19.9,19.85,19.85,800.0
2017-04-04 09:50:00,19.86,19.9099,19.86,19.8999,1750.0
2017-04-04 09:55:00,19.9,19.97,19.9,19.93,2338.0
2017-04-04 10:00:00,19.93,19.945,19.91,19.93,1575.0
2017-04-04 10:05:00,19.9316,19.9316,19.89,19.89,3300.0
2017-04-04 10:10:00,19.9,19.9,19.89,19.89,600.0
2017-04-04 10:15:00,19.89,19.9,19.88,19.89,5931.0
2017-04-04 10:20:00,19.9,19.9,19.89,19.9,800.0
2017-04-04 10:25:00,19.89,19.89,19.89,19.89,200.0
2017-04-04 10:30:00,19.899,19.9,19.88,19.89,4150.0
2017-04-04 10:35:00,19.89,19.89,19.88,19.89,950.0
2017-04-04 10:40:00,19.8901,19.93,19.8901,19.93,4800.0
2017-04-04 10:45:00,19.9201,19.975,19.92,19.96,6488.0
2017-04-04 10:50:00,19.96,19.9632,19.93,19.93,4500.0
2017-04-04 10:55:00,19.93,19.96,19.93,19.93,4017.0
2017-04-04 11:00:00,19.91,19.91,19.89,19.8932,6140.0
2017-04-04 11:05:00,19.89,19.94,19.89,19.94,4683.0
2017-04-04 11:10:00,19.95,19.95,19.92,19.92,4934.0
2017-04-04 11:15:00,19.91,19.95,19.91,19.95,3500.0
2017-04-04 11:20:00,19.93,19.96,19.93,19.94,600.0
2017-04-04 11:25:00,19.96,19.965,19.94,19.9645,4150.0
2017-04-04 11:30:00,19.96,19.96,19.95,19.95,300.0
