Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-10 11:55:00,9.44,9.5,9.4201,9.45,3490.0,167216.0,0.0010593220339,9.42856616987,0.000568644743562,9.40241600853,0,0,1,33003.883,1576724.5824,9.42926862501,-1,0,1,1,529
2017-03-10 12:00:00,9.48,9.48,9.4501,9.4501,1087.0,168303.0,1.05820105822e-05,9.43287293589,0.000456778469695,9.40695734105,0,0,1,10283.0924667,1587007.67487,9.42946753692,1,0,1,1,529
2017-03-10 12:05:00,9.48,9.53,9.46,9.46,15200.0,183503.0,0.00104760796182,9.43829834872,0.000575160172099,9.41200902286,0,0,1,144146.666667,1731154.34153,9.43392937191,1,0,1,1,528
2017-03-10 12:10:00,9.47,9.5,9.44,9.48,30972.0,214475.0,0.00211416490486,9.44663867897,0.000883668850973,9.41848435402,0,0,1,293408.08,2024562.42153,9.43961963648,1,0,1,1,527
2017-03-10 12:15:00,9.51,9.55,9.51,9.545,18418.0,232893.0,0.00685654008439,9.46631094318,0.00208246180193,9.43053346316,1,1,1,175615.63,2200178.05153,9.44716265209,1,1,1,1,523
2017-03-10 12:20:00,9.54,9.55,9.54,9.55,454.0,233347.0,0.000523834468308,9.48304875454,0.00176814510583,9.44191122857,0,1,1,4334.18666667,2204512.2382,9.44735624713,1,0,1,1,523
2017-03-10 12:25:00,9.57,9.57,9.54,9.54,4300.0,237647.0,-0.00104712041885,9.49443900363,0.00120111679128,9.45125301633,0,1,1,41065.0,2245577.2382,9.44921348976,1,0,1,1,524
2017-03-10 12:30:00,9.53,9.53,9.48,9.48,9352.0,246999.0,-0.0062893081761,9.49155120291,-0.000304157067695,9.45399082429,0,0,1,88812.8266667,2334390.06487,9.45101018574,1,0,1,1,527
2017-03-10 12:35:00,9.5,9.505,9.49,9.49,11021.0,258020.0,0.00105485232068,9.49124096233,-3.2685972479e-05,9.4574202696,0,0,1,104644.395,2439034.45987,9.45288915536,1,0,1,1,526
2017-03-10 12:40:00,9.5,9.5,9.5,9.5,4800.0,262820.0,0.00105374077977,9.49299276986,0.00018457096831,9.46147548202,0,0,1,45600.0,2484634.45987,9.45374956193,1,0,1,1,526
2017-03-10 12:45:00,9.5,9.51,9.46,9.47,3000.0,265820.0,-0.00315789473684,9.48839421589,-0.00048441561935,9.46228734087,0,0,1,28440.0,2513074.45987,9.45404581998,1,0,1,1,527
2017-03-10 12:50:00,9.47,9.48,9.47,9.48,400.0,266220.0,0.00105596620908,9.48671537271,-0.000176936490989,9.46397426079,0,0,1,3790.66666667,2516865.12653,9.45407980818,1,0,1,1,527
2017-03-10 12:55:00,9.49,9.49,9.47,9.47,1300.0,267520.0,-0.00105485232068,9.48337229817,-0.000352395366658,9.46454814072,0,0,1,12319.6666667,2529184.7932,9.45418956788,1,0,1,1,527
2017-03-10 13:00:00,9.48,9.49,9.48,9.49,500.0,268020.0,0.00211193241816,9.48469783853,0.000139775211244,9.46697212731,0,0,1,4743.33333333,2533928.12653,9.45425015496,1,0,1,1,526
2017-03-10 13:05:00,9.48,9.49,9.47,9.48,1850.0,269870.0,-0.00105374077977,9.48375827083,-9.90614274661e-05,9.46821287709,0,0,1,17538.0,2551466.12653,9.45442667408,1,0,1,1,527
2017-03-10 13:10:00,9.48,9.53,9.48,9.5,12500.0,282370.0,0.00210970464135,9.48700661666,0.00034251672614,9.47124022213,0,0,1,118791.666667,2670257.7932,9.45659168184,1,0,1,1,526
2017-03-10 13:15:00,9.5,9.5,9.47,9.47,3702.0,286072.0,-0.00315789473684,9.48360529333,-0.000358524397621,9.47112210574,0,0,1,35094.96,2705352.7532,9.45689460416,1,0,1,1,527
2017-03-10 13:20:00,9.48,9.49,9.44,9.49,7617.0,293689.0,0.00211193241816,9.48488423466,0.00013485813617,9.47292000043,0,0,1,72158.38,2777511.1332,9.45732095244,1,0,1,1,526
2017-03-10 13:25:00,9.4903,9.52,9.4903,9.52,200.0,293889.0,0.0031612223393,9.49190738773,0.00074045743664,9.47740380991,1,0,1,1902.02,2779413.1532,9.45735687011,1,0,1,1,525
2017-03-10 13:30:00,9.502,9.52,9.502,9.505,1400.0,295289.0,-0.0015756302521,9.49452591018,0.000275868942544,9.48003201849,0,0,1,13312.6,2792725.7532,9.45760171628,1,0,1,1,526
2017-03-10 13:35:00,9.505,9.535,9.45,9.455,20116.0,315405.0,-0.00526038926881,9.48662072815,-0.000832604188114,9.47764801673,0,0,1,190699.68,2983425.4332,9.45903024112,1,0,1,1,528
2017-03-10 13:40:00,9.45,9.55,9.45,9.53,17749.0,333154.0,0.00793231094659,9.49529658252,0.000914535809857,9.4826339199,1,0,1,168792.99,3152218.4232,9.46174568878,1,0,1,1,524
2017-03-10 13:45:00,9.52,9.55,9.52,9.55,2051.0,335205.0,0.00209863588667,9.50623726601,0.0011522213552,9.48904973705,0,1,1,19566.54,3171784.9632,9.46222449904,1,0,1,1,523
2017-03-10 13:50:00,9.55,9.56,9.52,9.52,14962.0,350167.0,-0.00314136125654,9.50898981281,0.000289551661719,9.49199738114,0,0,1,142637.733333,3314422.69653,9.46526285039,1,0,1,1,525
2017-03-10 13:55:00,9.54,9.54,9.54,9.54,500.0,350667.0,0.00210084033613,9.51519185025,0.000652228844467,9.49656905913,0,0,1,4770.0,3319192.69653,9.46536941467,1,0,1,1,524
2017-03-10 14:00:00,9.55,9.55,9.55,9.55,300.0,350967.0,0.00104821802935,9.5221534802,0.000731633167222,9.50165772016,0,0,1,2865.0,3322057.69653,9.4654417553,1,0,1,1,523
2017-03-10 14:05:00,9.57,9.57,9.56,9.56,6148.0,357115.0,0.00104712041885,9.52972278416,0.000794915139295,9.50721412777,0,0,1,58795.3733333,3380853.06987,9.46712703154,1,0,1,1,523
2017-03-10 14:10:00,9.56,9.58,9.56,9.58,2100.0,359215.0,0.0020920502092,9.53977822733,0.00105516638792,9.5141461156,0,1,1,20104.0,3400957.06987,9.46774792218,1,0,1,1,521
2017-03-10 14:15:00,9.5741,9.59,9.5741,9.59,387.0,359602.0,0.00104384133612,9.54982258186,0.00105289182779,9.52137029507,0,1,1,3709.2789,3404666.34877,9.46787378481,1,0,1,1,521
2017-03-10 14:20:00,9.59,9.64,9.59,9.63,16186.0,375788.0,0.00417101147028,9.56585806549,0.001679139428,9.53171598125,1,1,1,155709.32,3560375.66877,9.47442618915,1,1,1,1,519
2017-03-10 14:25:00,9.64,9.64,9.64,9.64,300.0,376088.0,0.00103842159917,9.58068645239,0.00155013662136,9.54202874494,0,1,1,2892.0,3563267.66877,9.474558265,1,0,1,1,518
2017-03-10 14:30:00,9.64,9.7,9.63,9.7,4988.0,381076.0,0.00622406639004,9.60454916191,0.00249070978789,9.55707362638,1,1,1,48267.2133333,3611534.8821,9.47720371291,1,1,1,1,515
2017-03-10 14:35:00,9.685,9.69,9.63,9.63,6898.0,387974.0,-0.00721649484536,9.60963932953,0.000529974653834,9.56401899529,0,0,1,66565.7,3678100.5821,9.48027595174,1,0,1,1,519
2017-03-10 14:40:00,9.6369,9.65,9.63,9.65,2200.0,390174.0,0.00207684319834,9.61771146362,0.000840003856237,9.57220766241,0,0,1,21215.3333333,3699315.91543,9.48119535242,1,0,1,1,518
2017-03-10 14:45:00,9.649,9.65,9.6375,9.64,1100.0,391274.0,-0.00103626943005,9.6221691709,0.000463489395782,9.57866407551,0,0,1,10606.75,3709922.66543,9.48164883287,1,0,1,1,518
2017-03-10 14:50:00,9.6301,9.71,9.61,9.66,13536.0,404810.0,0.00207468879668,9.62973533672,0.000786326418262,9.58641035403,0,0,1,130757.76,3840680.42543,9.48761252299,1,0,1,1,517
2017-03-10 14:55:00,9.63,9.66,9.6201,9.66,2003.0,406813.0,0.0,9.63578826938,0.000628566875869,9.59341889174,0,0,1,19322.3401,3860002.76553,9.48839581216,1,0,1,1,517
2017-03-10 15:00:00,9.65,9.72,9.64,9.67,8611.0,415424.0,0.00103519668737,9.6426306155,0.000710097184948,9.60071233063,0,0,1,83325.7766667,3943328.5422,9.49229833182,1,0,1,1,517
2017-03-10 15:05:00,9.66,9.69,9.66,9.69,1000.0,416424.0,0.00206825232678,9.6521044924,0.000982499203552,9.60921591819,0,0,1,9680.0,3953008.5422,9.49274907834,1,0,1,1,515
2017-03-10 15:10:00,9.68,9.73,9.68,9.7,7008.0,423432.0,0.00103199174407,9.66168359392,0.000992436574577,9.61786202122,0,0,1,68000.96,4021009.5022,9.49623434743,1,0,1,1,515
2017-03-10 15:15:00,9.6954,9.73,9.69,9.69,10541.0,433973.0,-0.00103092783505,9.66734687514,0.000586158836694,9.62473230491,0,0,1,102282.836667,4123292.33887,9.50126468436,1,0,1,1,515
2017-03-10 15:20:00,9.69,9.725,9.69,9.725,1000.0,434973.0,0.00361197110423,9.67887750011,0.00119273934428,9.6342816092,1,1,1,9713.33333333,4133005.6722,9.50175222876,1,1,1,1,514
2017-03-10 15:25:00,9.73,9.82,9.71,9.71,19693.0,454666.0,-0.00154241645244,9.68510200009,0.000643101431764,9.64149288452,0,0,1,191941.106667,4324946.77887,9.51236023557,1,0,1,1,514
2017-03-10 15:30:00,9.73,9.81,9.73,9.81,7900.0,462566.0,0.010298661174,9.71008160007,0.00257917779104,9.65754118123,1,1,1,77288.3333333,4402235.1122,9.51698808862,1,1,1,1,509
2017-03-10 15:35:00,9.81,9.81,9.78,9.8,4800.0,467366.0,-0.00101936799184,9.72806528006,0.00185206270418,9.67110868778,0,1,1,47024.0,4449259.1122,9.51986047808,1,0,1,1,510
2017-03-10 15:40:00,9.8,9.81,9.75,9.81,20327.0,487693.0,0.00102040816327,9.74445222404,0.00168450185284,9.6843364318,0,1,1,199001.33,4648260.4422,9.53111986885,1,0,1,1,509
2017-03-10 15:45:00,9.81,9.93,9.81,9.88,33700.0,521393.0,0.00713557594292,9.77156177924,0.00278205019305,9.70297105734,1,1,1,332731.333333,4980991.77553,9.55323868087,1,1,1,1,506
2017-03-10 15:50:00,9.87,9.91,9.8,9.88,18870.0,540263.0,0.0,9.79324942339,0.00221946549004,9.71983095664,0,1,1,186121.1,5167112.87553,9.56406949122,1,0,1,1,506
2017-03-10 15:55:00,9.88,9.89,9.82,9.83,13058.0,553321.0,-0.00506072874494,9.80059953871,0.000750528757567,9.73032324649,0,0,1,128577.773333,5295690.64887,9.57073859273,1,0,1,1,508
2017-03-10 16:00:00,9.84,9.86,9.78,9.78,13826.0,567147.0,-0.00508646998983,9.79647963097,-0.000420373031864,9.73505436587,0,0,1,135586.973333,5431277.6222,9.57649008493,1,0,1,1,511
2017-03-10 16:05:00,9.81,9.81,9.81,9.81,3185.0,570332.0,0.00306748466258,9.79918370477,0.000276025052685,9.74219204531,1,0,1,31244.85,5462522.4722,9.57779411325,1,0,1,1,509
